team_id,season_year,defense_int,fumbles_rcv,takeaways,passing_ints,fumbles_lost,giveaways,passing_tds,passing_yds,rushing_tds,rushing_yds,home_wins,away_wins,ties,total_wins
HOU,2013,7,10,17,22,9,31,19,4183,7,1743,1,1,0,2
HOU,2014,20,9,29,13,9,22,22,3460,12,2165,5,4,0,9
HOU,2015,14,14,28,12,8,20,29,4079,7,1731,5,4,0,9
HOU,2016,11,7,18,16,8,24,15,3418,8,1859,7,2,0,9
HOU,2017,8,4,12,12,8,20,21,2453,5,1217,3,1,0,4
IND,2009,16,4,20,19,5,24,34,4605,16,1294,7,7,0,14
IND,2010,10,5,15,17,8,25,33,4700,13,1483,6,4,0,10
IND,2011,8,9,17,14,15,29,14,3223,8,1594,2,0,0,2
IND,2012,12,10,22,18,9,27,23,4374,11,1671,7,4,0,11
IND,2013,16,6,22,10,4,14,23,3960,15,1735,6,5,0,11
IND,2014,12,13,25,16,15,31,42,5062,9,1602,6,5,0,11
IND,2015,17,7,24,19,11,30,26,3928,6,1438,4,4,0,8
IND,2016,8,7,15,15,7,22,32,4491,13,1629,4,4,0,8
IND,2017,10,11,21,7,6,13,9,2496,9,1048,3,1,0,4
JAC,2009,15,12,27,10,13,23,15,3599,19,2028,5,2,0,7
JAC,2010,13,9,22,21,12,33,26,3356,14,2385,5,3,0,8
JAC,2011,17,18,35,15,8,23,12,2510,9,1970,4,1,0,5
JAC,2012,12,10,22,17,8,25,20,3754,5,1369,1,1,0,2
JAC,2013,11,12,23,21,6,27,16,3751,7,1260,1,3,0,4
JAC,2014,6,7,13,18,8,26,15,3450,9,1635,3,0,0,3
JAC,2015,9,13,22,18,10,28,35,4428,5,1460,4,1,0,5
JAC,2016,7,8,15,16,13,29,24,3925,8,1615,2,1,0,3
JAC,2017,12,3,15,8,5,13,11,2090,11,1557,6,4,0,10
KC,2009,15,19,34,17,10,27,18,3183,8,1917,1,3,0,4
KC,2010,14,9,23,8,6,14,27,3189,13,2627,7,3,0,10
KC,2011,20,7,27,18,10,28,13,3294,5,1887,3,4,0,7
KC,2012,7,8,15,20,17,37,8,2937,9,2399,1,1,0,2
KC,2013,21,8,29,9,9,18,24,3561,17,2057,5,6,0,11
KC,2014,6,7,13,6,11,17,19,3447,17,1904,6,3,0,9
KC,2015,22,7,29,7,8,15,20,3493,19,2041,6,5,0,11
KC,2016,18,5,23,8,9,17,19,3914,15,1749,6,6,0,12
KC,2017,8,7,15,3,2,5,19,2643,6,1105,6,4,0,10
LA,2016,10,11,21,20,9,29,14,3313,9,1252,1,3,0,4
LA,2017,12,7,19,5,8,13,18,2790,10,1242,4,7,0,11
LAC,2017,9,5,14,7,3,10,18,2697,5,879,5,4,0,9
MIA,2009,15,14,29,19,10,29,15,3396,22,2231,4,3,0,7
MIA,2010,11,13,24,20,10,30,17,3752,8,1646,1,6,0,7
MIA,2011,16,14,30,13,12,25,20,3438,11,1981,4,2,0,6
MIA,2012,10,9,19,13,13,26,13,3425,15,1784,5,2,0,7
MIA,2013,18,8,26,19,7,26,23,3926,8,1373,4,4,0,8
MIA,2014,14,12,26,12,11,23,27,4077,12,1878,4,4,0,8
MIA,2015,13,12,25,12,7,19,24,4233,11,1494,3,3,0,6
MIA,2016,16,15,31,15,8,23,27,3718,14,1824,6,4,0,10
MIA,2017,4,4,8,12,3,15,15,2098,1,788,4,2,0,6
MIN,2009,11,6,17,7,11,18,34,4403,19,1918,8,4,0,12
MIN,2010,15,9,24,26,11,37,14,3330,16,1942,4,2,0,6
MIN,2011,8,8,16,17,9,26,20,3255,18,2318,1,2,0,3
MIN,2012,10,9,19,12,11,23,18,2935,16,2627,7,3,0,10
MIN,2013,12,8,20,19,13,32,18,3645,23,2081,5,0,1,5.5
MIN,2014,13,6,19,18,2,20,17,3566,12,1805,5,2,0,7
MIN,2015,13,10,23,9,8,17,14,3246,18,2211,6,5,0,11
MIN,2016,14,9,23,5,11,16,20,4119,9,1205,5,3,0,8
MIN,2017,9,1,10,5,5,10,16,2578,10,1198,7,6,0,13
NE,2009,18,7,25,13,9,22,28,4540,19,1921,8,2,0,10
NE,2010,25,4,29,5,5,10,37,4022,19,1973,8,6,0,14
NE,2011,23,6,29,12,5,17,39,5261,18,1764,7,6,0,13
NE,2012,20,5,25,9,7,16,34,4844,25,2173,6,6,0,12
NE,2013,17,14,31,11,9,20,25,4343,19,2065,8,4,0,12
NE,2014,16,8,24,9,4,13,34,4291,13,1725,7,5,0,12
NE,2015,12,6,18,7,7,14,36,4812,14,1404,7,5,0,12
NE,2016,13,17,30,2,9,11,32,4458,19,1872,6,8,0,14
NE,2017,9,6,15,3,4,7,23,3071,8,1167,6,7,0,13
NO,2009,26,6,32,12,16,28,34,4490,21,2115,6,7,0,13
NO,2010,9,12,21,22,10,32,33,4636,9,1519,5,6,0,11
NO,2011,9,0,9,14,5,19,46,5505,16,2127,8,5,0,13
NO,2012,15,6,21,19,5,24,43,5187,10,1579,4,3,0,7
NO,2013,12,2,14,12,7,19,39,5162,10,1475,8,3,0,11
NO,2014,12,7,19,17,13,30,33,4952,16,1818,3,4,0,7
NO,2015,9,9,18,11,9,20,32,5213,16,1489,4,3,0,7
NO,2016,9,7,16,15,9,24,38,5257,17,1743,4,3,0,7
NO,2017,11,8,19,4,6,10,14,2644,15,1403,7,4,0,11
NYG,2009,13,11,24,14,17,31,28,4246,14,1837,4,4,0,8
NYG,2010,16,8,24,25,17,42,31,4002,17,2200,5,5,0,10
NYG,2011,20,10,30,16,8,24,29,4910,17,1427,4,5,0,9
NYG,2012,21,6,27,15,6,21,26,3967,18,1862,6,3,0,9
NYG,2013,17,9,26,29,15,44,18,3875,11,1333,4,3,0,7
NYG,2014,17,7,24,14,14,28,30,4470,13,1602,3,3,0,6
NYG,2015,14,13,27,14,7,21,36,4515,5,1609,3,3,0,6
NYG,2016,16,8,24,16,11,27,26,4027,6,1412,7,4,0,11
NYG,2017,5,6,11,7,5,12,14,2206,2,892,2,1,0,3
NYJ,2009,17,11,28,21,9,30,12,2596,21,2756,4,5,0,9
NYJ,2010,12,13,25,14,7,21,20,3420,14,2374,5,6,0,11
NYJ,2011,19,7,26,18,16,34,26,3542,14,1692,6,2,0,8
NYJ,2012,11,13,24,19,18,37,14,3178,12,1891,3,3,0,6
NYJ,2013,13,8,21,22,7,29,13,3270,12,2158,6,2,0,8
NYJ,2014,6,11,17,15,9,24,16,3206,11,2279,2,2,0,4
NYJ,2015,18,6,24,16,8,24,33,4170,11,1868,6,4,0,10
NYJ,2016,8,14,22,25,9,34,16,3644,10,1779,2,3,0,5
NYJ,2017,10,8,18,8,8,16,17,2580,8,1125,4,1,0,5
OAK,2009,8,10,18,18,15,33,10,2875,7,1701,2,3,0,5
OAK,2010,12,20,32,16,10,26,18,3472,19,2493,5,3,0,8
OAK,2011,18,9,27,23,7,30,20,4117,16,2110,3,5,0,8
OAK,2012,11,11,22,16,10,26,24,4292,4,1420,3,1,0,4
OAK,2013,9,15,24,20,10,30,17,3628,16,2004,3,1,0,4
OAK,2014,9,11,20,16,13,29,22,3457,4,1244,3,0,0,3
OAK,2015,14,12,26,14,10,24,34,4129,7,1455,3,4,0,7
OAK,2016,16,6,22,7,7,14,29,4133,17,1922,6,6,0,12
OAK,2017,1,8,9,8,6,14,16,2472,10,892,4,2,0,6
PHI,2009,25,9,34,13,10,23,27,4380,14,1644,6,5,0,11
PHI,2010,23,18,41,13,12,25,28,4215,18,2328,4,6,0,10
PHI,2011,15,9,24,25,13,38,22,4276,20,2277,3,5,0,8
PHI,2012,8,13,21,15,22,37,18,4077,10,1887,2,2,0,4
PHI,2013,19,6,25,9,11,20,32,4407,19,2557,4,6,0,10
PHI,2014,12,8,20,21,16,37,27,4581,16,1992,6,4,0,10
PHI,2015,15,11,26,18,14,32,23,4341,15,1740,3,4,0,7
PHI,2016,16,15,31,14,6,20,16,3798,15,1721,6,1,0,7
PHI,2017,13,7,20,5,8,13,26,2545,7,1407,7,6,0,13
PIT,2009,12,5,17,14,12,26,28,4496,10,1790,6,3,0,9
PIT,2010,20,11,31,9,9,18,22,3890,15,1925,5,7,0,12
PIT,2011,11,3,14,15,14,29,21,4333,13,1903,7,5,0,12
PIT,2012,10,13,23,14,16,30,26,4001,9,1550,5,3,0,8
